职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
Python开发工程师,成都鲲摇物联网有限责任公司,民营公司,3-4.5千/月,成都-武侯区,10,2021-09-02 08:55:37,五险一金 补充公积金 员工旅游 出国机会 定期体检 弹性工作 专业培训 绩效奖金 年终奖金 补充医疗保险,无需经验,招若干人,互联网/电子商务
大数据建模工程师(J10545),成都数联铭品科技有限公司,民营公司,1-1.5万/月,成都-高新区,3,2021-09-01 13:51:06,五险一金 餐饮补贴 交通补贴 通讯补贴 弹性工作 周末双休 带薪年假 节日福利 加班补贴,1年经验,硕士,计算机服务(系统、数据服务、维修)
资深大数据平台软件开发工程师,成都聚思力信息技术有限公司,外资（欧美）,2-2.5万/月,成都,6,2021-10-26 09:13:36,五险一金 弹性工作 周末双休 带薪年假 绩效奖金 节日福利 专业培训 交通补贴 餐饮补贴 补充医疗保险,5-7年经验,本科,计算机软件
舆情监测专员,四川德强科技有限公司,民营公司,3.5-6千/月,成都-高新区,,2021-10-26 08:51:12,年终奖金 六险一金 专业培训 定期体检 员工旅游 股票期权 补充医疗保险,招6人,,通信/电信运营、增值服务
大数据项目经理（数据治理方向）,联通（四川）产业互联网有限公司,国企,20-30万/年,成都-天府新区,4,2021-10-26 11:22:42,五险一金 补充医疗保险 交通补贴 通讯补贴 定期体检 餐饮补贴 绩效奖金 年终奖金,2年经验,本科,计算机服务(系统、数据服务、维修)
#100强通讯#大数据DBA,万宝盛华企业管理咨询（上海）有限公司,上市公司,1.2-2.2万/月,成都-郫都区,5,2021-10-26 09:15:24,,3-4年经验,本科,计算机软件
大数据平台运维,成都聚思力信息技术有限公司,外资（欧美）,1.5-2万/月,成都,5,2021-10-26 09:13:35,五险一金 补充医疗保险 员工旅游 交通补贴 定期体检 弹性工作 餐饮补贴,3-4年经验,本科,计算机软件
高级大数据产品经理 Big Data Product Manager,成都育碧电脑软件有限公司,外资（欧美）,1.4-2万/月,成都-高新区,6,2021-10-26 09:12:26,五险一金 绩效奖金 专业培训 补充医疗保险 定期体检,5-7年经验,本科,计算机软件
大数据运维工程师,杭州东信北邮信息技术有限公司,国企,0.5-1万/月,成都-武侯区,3,2021-10-26 09:06:18,五险一金 弹性工作 补充医疗保险,1年经验,本科,通信/电信运营、增值服务
大数据产品经理,亚信科技CMC,合资,1.5-2.5万/月,成都-高新区,5,2021-10-26 07:00:32,五险一金 通讯补贴 补充医疗保险 补充公积金 绩效奖金 年终奖金 定期体检 专业培训 双休,3-4年经验,本科,计算机软件
大数据应用工程师,成都智慧城市信息技术有限公司,国企,2.5-3万/月,成都-高新区,6,2021-10-25 09:03:59,,5-7年经验,本科,互联网/电子商务
大数据及人工智能后端产品总监,三盟科技股份有限公司,上市公司,2-4万/月,成都-武侯区,6,2021-10-25 09:00:01,五险一金 年终奖金 绩效奖金 带薪年假 周末双休 节日福利 通讯补贴 交通补贴 专业培训 弹性工作,5-7年经验,本科,计算机软件
CSIG17-大数据高级测试工程师（成都/深圳/北京）,深圳市腾讯计算机系统有限公司,民营公司,,成都,5,2021-10-25 07:04:57,,3-4年经验,本科,互联网/电子商务
大数据支持/全房源系统/综合服务管家,四川链家房地产经纪有限公司,民营公司,6-8千/月,成都-新都区,10,2021-10-24 23:00:09,弹性工作 五险一金 专业培训 节日福利 绩效奖金 就近分配 旅游大奖 关爱金 孝顺金 带薪年假,无需经验,本科,房地产
7 大数据支持/全房源系统/综合服务管家,四川链家房地产经纪有限公司,民营公司,0.8-1万/月,成都,10,2021-10-24 22:59:58,弹性工作 五险一金 节日福利 带薪年假 年度体检 月度团建 季度团建 人民大会堂,无需经验,本科,房地产
大数据产品销售底薪6-8k五险一金周末双休,成都云信留客信息科技有限公司,民营公司,6-8千/月,成都-高新区,3,2021-10-21 13:19:44,五险一金 通讯补贴 绩效奖金 年终奖金,1年经验,大专,互联网/电子商务
数据库工程师,成都博彦软件技术有限公司深圳分公司,民营公司,1-1.3万/月,武汉,4,2021-10-20 10:15:54,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 扁平化管理 周末双休 交通补贴,2年经验,大专,计算机软件
大数据产品经理,博瑞得科技有限公司,民营公司,0.8-1.6万/月,成都-高新区,4,2021-09-28 14:09:51,绩效奖金 五险一金 定期体检 专业培训,2年经验,本科,通信/电信运营、增值服务
高级游戏运营,爱奇艺（www.iqiyi.com）,合资,0.8-1.2万/月,成都-高新区,3,2021-09-26 16:00:01,免费茶饮 餐饮补贴 交通补贴 加班补贴 季度奖金 内购福利 节日福利 五险一金,1年经验,招1人,互联网/电子商务
