职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
成都研发-高级/专家算法工程师,美团,上市公司,,成都-武侯区,6,2021-10-26 19:28:55,,5-7年经验,招1人,互联网/电子商务
算法工程师,成都九华圆通科技发展有限公司,民营公司,20-35万/年,成都-郫都区,6,2021-10-26 11:55:14,五险一金 免费班车 员工旅游 年终奖金 绩效奖金,5-7年经验,本科,通信/电信/网络设备
视觉算法工程师,成都中嘉微视科技有限公司,合资,1.5-3万/月,成都-郫都区,4,2021-10-26 10:30:38,五险一金 定期体检 定期团建 年终奖金,2年经验,本科,电子技术/半导体/集成电路
算法工程师-成都、绵阳,四川九洲防控科技有限责任公司,国企,12-24万/年,成都-高新区,3,2021-10-26 14:32:06,五险两金 交通补贴 餐饮补贴 绩效奖金 定期体检 带薪年假 生日福利,1年经验,硕士,电子技术/半导体/集成电路
AI算法工程师,智信历和（成都）企业管理咨询有限责任公司,民营公司,1.5-2万/月,成都-金牛区,5,2021-10-26 10:25:12,五险一金 周末双休 节日福利 绩效奖金 零食水果咖啡 定期团建 专业培训,3-4年经验,本科,互联网/电子商务
算法工程师,天津大学四川创新研究院,事业单位,1.5-2.5万/月,成都-双流区,3,2021-10-26 04:01:52,五险一金 员工旅游 专业培训 年终奖金 定期体检,1年经验,硕士,电子技术/半导体/集成电路
制导算法工程师,成都纵横自动化技术股份有限公司,民营公司,1.5-2.5万/月,成都-高新区,5,2021-10-26 04:01:52,五险一金 年终奖金 定期体检 餐饮补贴 通讯补贴 专业培训 交通补贴,3-4年经验,硕士,仪器仪表/工业自动化
图像算法工程师,四川中科友成科技有限公司,民营公司,0.8-1.5万/月,成都-郫都区,5,2021-10-26 04:01:52,五险一金 餐饮补贴 绩效奖金 年终奖金,3-4年经验,本科,电子技术/半导体/集成电路
个性化推荐算法资深工程师/专家--4117,爱奇艺（www.iqiyi.com）,合资,3-5万/月,成都-高新区,10,2021-10-26 23:50:23,,无需经验,招1人,互联网/电子商务
算法工程师（上海）,上海霍塔浩福自动化测试技术有限公司,外资（欧美）,1.5-3万/月,上海,5,2021-10-26 18:18:41,五险一金 免费班车,3-4年经验,本科,汽车
图像算法工程师,研祥高科技控股集团有限公司,上市公司,1.1-2万/月,成都-高新区,5,2021-10-26 17:59:55,五险一金 绩效奖金 员工旅游 周末双休 开车补贴 包三餐 包住宿 无息车房补贴,3-4年经验,本科,计算机硬件
FPGA算法软件工程师,国蓉科技有限公司,上市公司,1-2万/月,成都-郫都区,3,2021-10-26 17:50:36,五险一金 免费班车 交通补贴 餐饮补贴 通讯补贴 专业培训 定期体检,1年经验,本科,电子技术/半导体/集成电路
中高级算法工程师,深圳鲲鹏科教有限公司,民营公司,1.5-2万/月,成都-武侯区,5,2021-10-26 17:47:13,五险一金 交通补贴 餐饮补贴,3-4年经验,硕士,互联网/电子商务
协议栈算法工程师,成都爱瑞无线科技有限公司,民营公司,1.5-3万/月,成都-高新区,4,2021-10-26 17:45:36,,2年经验,本科,通信/电信/网络设备
3D算法工程师,盎锐（上海）信息科技有限公司,外资（非欧美）,1.5-2万/月,成都-高新区,5,2021-10-26 17:36:02,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,3-4年经验,本科,电子技术/半导体/集成电路
算法工程师,成都康赛信息技术有限公司,民营公司,0.8-1.5万/月,成都,3,2021-10-26 17:32:33,五险一金 员工旅游 绩效奖金 年终奖金,1年经验,本科,计算机软件
PHM算法研发工程师,北京航天测控技术有限公司,国企,20-28万/年,成都-成华区,4,2021-10-26 17:32:30,五险一金 全额基数 公积金12 带薪年假 试用期全额 定期体检 节日福利 加班少,2年经验,硕士,仪器仪表/工业自动化
算法工程师-面部捕捉,成都数字天空科技有限公司,民营公司,1.5-2.5万/月,成都,4,2021-10-26 16:29:52,五险一金 补充医疗保险 定期体检 专业培训 试用期全薪,2年经验,硕士,网络游戏
视觉算法工程师——后端（成都）,上海华讯网络系统有限公司,国企,1-1.8万/月,成都-锦江区,4,2021-10-26 16:22:26,五险一金 补充医疗保险 补充公积金 交通补贴 通讯补贴 专业培训 绩效奖金 定期体检,2年经验,本科,计算机服务(系统、数据服务、维修)
通信算法工程师,上海久航电子有限公司,民营公司,0.8-1.6万/月,成都-青羊区,3,2021-10-26 16:18:59,补充医疗保险 补充公积金 专业培训 绩效奖金 餐饮补贴 年终奖金 定期体检,1年经验,本科,电子技术/半导体/集成电路
无线通信算法工程师,成都盟升电子技术股份有限公司,上市公司,1.5-2.5万/月,成都,5,2021-10-26 16:03:31,五险一金 年终奖金 绩效奖金 定期体检 餐饮补贴 过节红包,3-4年经验,本科,电子技术/半导体/集成电路
算法工程师,重庆德创驰电子技术研究院有限公司,民营公司,1-2万/月,成都-郫都区,4,2021-10-26 15:54:48,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 年休假,2年经验,本科,学术/科研
图像算法工程师（Sensor）,四川索成易半导体科技有限公司,民营公司,1.2-2.4万/月,成都-高新区,4,2021-10-26 15:47:31,五险一金 补充公积金 交通补贴 餐饮补贴 年终奖金 定期体检 出国机会 专业培训 补充医疗保险,2年经验,本科,电子技术/半导体/集成电路
图像算法工程师,广州市埃特斯通讯设备有限公司,民营公司,1.5-2.5万/月,广州,3,2021-10-26 15:43:22,,1年经验,本科,通信/电信/网络设备
机器视觉算法工程师,成都国铁电气设备有限公司,民营公司,2-4万/月,成都-双流区,4,2021-10-26 15:38:20,年终奖金 过年过节福利 交通补贴 五险一金 餐饮补贴 专业培训,2年经验,硕士,电子技术/半导体/集成电路
计算机视觉算法工程师,成都拓米电子装备制造有限公司,合资,1.5-3万/月,成都-郫都区,5,2021-10-26 15:20:14,五险一金 补充医疗保险 提供食宿 绩效奖金 年终奖金 定期体检 发展平台 通讯补贴 周末双休,3-4年经验,本科,多元化业务集团公司
算法工程师,深圳市朗驰欣创科技股份有限公司成都分公司,民营公司,1.5-2.5万/月,成都-高新区,4,2021-10-26 15:11:51,五险一金 年终奖金 周末双休 年度调薪 岗位晋升 带薪年假 全勤奖 绩效奖金 定期体检 节日福利,2年经验,硕士,计算机软件
机器人算法/运动控制算法工程师,成都家有为力机器人技术有限公司,民营公司,1.8-3万/月,成都-高新区,4,2021-10-26 15:09:00,五险一金 交通补贴 餐饮补贴 专业培训 周末双休 带薪年假 弹性工作,2年经验,本科,计算机硬件
高级算法工程师,四川丹诺迪科技有限公司,民营公司,1.5-2.5万/月,成都-高新区,3,2021-10-26 14:26:40,五险一金 餐饮补贴 交通补贴,1年经验,本科,制药/生物工程
电机算法工程师,希望森兰科技股份有限公司,民营公司,1.2-2.4万/月,成都,4,2021-10-26 14:10:00,带薪年假 五险一金 绩效奖金 节日福利 通讯补贴 年终奖金 免费班车 专业培训 提供食宿 项目奖金,2年经验,硕士,机械/设备/重工
算法工程师,成都翰东科技有限公司,民营公司,1.2-2.4万/月,成都-武侯区,5,2021-10-26 13:57:06,年终奖金 周末双休 五险一金 生日福利 节日福利 下午茶福利,3-4年经验,本科,计算机硬件
算法工程师,深圳市昇利扬科技有限公司,民营公司,2.5-3.5万/月,成都-高新区,5,2021-10-26 13:54:57,五险一金 员工旅游 绩效奖金 年终奖金 股票期权,3-4年经验,硕士,计算机软件
3D图形算法工程师,深圳市菲森科技有限公司,民营公司,1-2.5万/月,成都,10,2021-10-26 13:47:34,五险一金 年终奖金 绩效奖金 专业培训 弹性工作 发展空间大,无需经验,本科,医疗设备/器械
算法工程师,成都天奥集团有限公司,国企,18-30万/年,成都-高新区,4,2021-10-26 13:32:02,,2年经验,硕士,计算机服务(系统、数据服务、维修)
算法工程师,深圳市玖合鑫科技发展有限公司,民营公司,2.5-3万/月,深圳,3,2021-10-26 13:12:13,,1年经验,硕士,通信/电信运营、增值服务
测向算法工程师,成都华日通讯技术股份有限公司,民营公司,1.2-2万/月,成都-武侯区,6,2021-10-26 13:11:38,五险一金 交通补贴 通讯补贴 免费早午餐 免费停车 14-17薪,5-7年经验,本科,通信/电信/网络设备
机器学习算法工程师2,成都图影视讯科技有限公司,民营公司,0.8-1.6万/月,成都-高新区,4,2021-10-26 13:00:01,五险一金 年终奖金 员工旅游 弹性工作,2年经验,硕士,电子技术/半导体/集成电路
算法工程师,成都律图科技有限公司,民营公司,2.5-3万/月,成都-郫都区,5,2021-10-26 12:09:24,,3-4年经验,本科,法律
高级算法工程师,成都思腾数联信息技术有限公司,外资（欧美）,2-3万/月,成都-高新区,5,2021-10-26 11:59:19,五险一金 补充公积金 绩效奖金 交通补贴 餐饮补贴 弹性工作 年终奖金 通讯补贴,3-4年经验,硕士,计算机软件
三维重建算法工程师,入迷（成都）信息技术有限公司,外资（欧美）,2-2.5万/月,成都-高新区,6,2021-10-26 11:50:02,五险一金 交通补贴 餐饮补贴 周末双休 定期体检 带薪年假 全勤奖,5-7年经验,本科,计算机软件
机器视觉算法工程师,成都泓睿科技有限责任公司,民营公司,1.5-3万/月,成都,5,2021-10-26 11:46:37,五险一金 补充公积金 员工旅游 绩效奖金 年终奖金 餐饮补贴 股票期权 定期体检,3-4年经验,本科,多元化业务集团公司
图像算法工程师,成都云芯医联科技有限公司,民营公司,1.5-2万/月,成都-高新区,3,2021-10-26 11:36:08,五险一金 周末双休 年终奖金,1年经验,本科,医疗设备/器械
算法工程师,深圳万讯自控股份有限公司,上市公司,1.5-2万/月,成都,5,2021-10-26 11:26:47,五险一金 补充医疗保险 年终奖金 股票期权 弹性工作 专业培训 绩效奖金 员工旅游 交通补贴 补充公积金,3-4年经验,硕士,仪器仪表/工业自动化
导航算法工程师,四川伯乐帮科技有限公司,民营公司,2-3万/月,成都-高新区,6,2021-10-26 11:26:45,绩效奖金 五险一金 年终奖金,5-7年经验,硕士,互联网/电子商务
算法工程师,成都嘉程智宇信息技术有限公司,民营公司,1.5-2.5万/月,成都-高新区,5,2021-10-26 11:23:52,五险一金 餐饮补贴 年终奖金 定期体检,3-4年经验,硕士,通信/电信/网络设备
信号处理与算法工程师,成都吉锐时代触摸技术有限公司,民营公司,1.5-3万/月,成都-高新区,5,2021-10-26 11:19:19,五险一金 年终奖金 定期体检 专业培训 绩效奖金 带薪年假 节日福利 餐饮补贴,3-4年经验,本科,电子技术/半导体/集成电路
生物信息算法工程师,赛雷纳（中国）医疗科技有限公司,合资,1-1.5万/月,成都-高新区,3,2021-10-26 10:54:04,五险一金 餐饮补贴 年终奖金 定期体检,1年经验,硕士,制药/生物工程
FPGA算法工程师,四川恒湾科技有限公司,民营公司,1.5-3.5万/月,成都-高新区,4,2021-10-26 10:53:42,五险一金 带薪年假,2年经验,硕士,通信/电信/网络设备
物理层算法工程师,苏州智铸通信科技股份有限公司,上市公司,2.5-4.5万/月,成都-武侯区,4,2021-10-26 10:53:37,五险一金 补充公积金 员工旅游 年终奖金 绩效奖金 专业培训 定期体检,2年经验,硕士,通信/电信/网络设备
算法工程师,电子科大科园股份有限公司,民营公司,1.2-3万/月,成都-成华区,4,2021-10-26 10:52:27,五险一金 员工旅游 绩效奖金 年终奖金 定期体检 餐饮补贴,2年经验,本科,电子技术/半导体/集成电路
通信算法工程师,成都大公博创信息技术有限公司,民营公司,1.3-2.6万/月,成都,5,2021-10-26 10:37:25,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金,3-4年经验,本科,通信/电信/网络设备
PHM算法工程师,上海交通大学四川研究院,事业单位,1.5-2万/月,成都-双流区,3,2021-10-26 10:28:53,,1年经验,硕士,学术/科研
图像算法工程师,北京鼎汉检测技术有限公司成都分公司,民营公司,1-1.5万/月,成都-高新区,4,2021-10-26 10:25:52,五险一金 定期体检 专业培训 年终奖金 员工旅游,2年经验,本科,交通/运输/物流
算法工程师,四川弘和集团,民营公司,2-3万/月,成都-武侯区,5,2021-10-26 10:09:13,周末双休 绩效奖金 餐饮补贴 五险一金,3-4年经验,本科,计算机软件
FPGA算法工程师,成都正扬博创电子技术有限公司,民营公司,15-25万/年,成都-郫都区,5,2021-10-26 10:03:30,五险一金 绩效奖金 餐饮补贴 年终奖金 股票期权 周末双休 专业培训 生日福利 节日福利 带薪年假,3-4年经验,本科,通信/电信/网络设备
深度学习算法加速研发工程师(J10457),深圳云天励飞技术有限公司,民营公司,3-5万/月,深圳,5,2021-10-26 10:03:18,年终奖金 六险一金 定期体检 餐饮补贴,3-4年经验,本科,计算机软件
ASR算法工程师(J10119),深圳市普渡科技有限公司,民营公司,3-6万/月,深圳,5,2021-10-26 10:03:05,,3-4年经验,本科,计算机硬件
算法工程师,成都嘉士觅企业管理咨询有限公司,民营公司,3-4万/月,上海,4,2021-10-26 09:57:20,员工旅游 专业培训 绩效奖金 年终奖金 五险一金 交通补贴 餐饮补贴 补充公积金 补充医疗保险,2年经验,本科,专业服务(咨询、人力资源、财会)
视觉算法工程师,成都宇俊盛科技有限公司,民营公司,2-3万/月,成都-郫都区,5,2021-10-26 09:55:47,五险一金 定期体检 绩效奖金 年终奖金 包吃包住,3-4年经验,硕士,计算机软件
GNSS基带信号处理算法工程师,成都华力创通科技有限公司,民营公司,1.5-2.5万/月,成都-天府新区,5,2021-10-26 09:55:17,五险一金 员工旅游 餐饮补贴 通讯补贴 专业培训 出国机会 绩效奖金 年终奖金 股票期权 定期体检,3-4年经验,硕士,电子技术/半导体/集成电路
通信及信号算法工程师,中国电子科技集团公司第十研究所,事业单位,1.5-2万/月,成都-金牛区,4,2021-10-26 09:51:47,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 住房补贴 单身宿舍,2年经验,硕士,电子技术/半导体/集成电路
视觉算法工程师,成都科锐特汽车科技有限公司,民营公司,1-1.5万/月,成都-龙泉驿区,10,2021-10-26 09:50:48,年终奖金 五险一金 弹性工作 绩效奖金 定期体检 专业培训 包住 节日福利,无需经验,本科,汽车
通航所-软件算法工程师,中国民用航空总局第二研究所,国企,8-10万/年,成都,10,2021-10-26 09:46:09,定期体检 周末双休 年终奖金 补充医疗保险 绩效奖金 专业培训,无需经验,硕士,交通/运输/物流
AI算法工程师,广州慧扬健康科技有限公司,民营公司,1.5-3万/月,成都-高新区,6,2021-10-26 09:43:51,五险一金 补充医疗保险 餐饮补贴 定期体检,5-7年经验,本科,计算机软件
视觉算法工程师,成都高昕光学科技有限公司,民营公司,1.5-3万/月,成都-郫都区,4,2021-10-26 09:43:49,五险一金 交通补贴 通讯补贴 定期体检 餐饮补贴 周末双休 法定节假日,2年经验,本科,学术/科研
智能应用算法工程师,电信科学技术第五研究所有限公司,国企,1-1.2万/月,成都-锦江区,3,2021-10-26 09:41:53,五险两金 年底双薪 绩效奖金 餐饮补贴 试用期全额 全额公积金 补充医疗保险 每年多次调薪 节日福利 三甲医院体检,1年经验,本科,通信/电信/网络设备
图像算法工程师,润坤（上海）光学科技有限公司,民营公司,1.6-2.3万/月,成都-武侯区,5,2021-10-26 09:36:16,,3-4年经验,硕士,仪器仪表/工业自动化
控制算法工程师,深圳市科陆电子科技股份有限公司,上市公司,1.5-2万/月,成都-温江区,5,2021-10-26 09:35:51,团队有活力 弹性工作 年终奖金 绩效奖金 定期体检 员工旅游 免费班车,3-4年经验,本科,仪器仪表/工业自动化
逻辑算法工程师（FPGA）,深圳凡维泰科技服务有限公司,民营公司,1-2万/月,成都-高新区,4,2021-10-26 09:35:51,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作,2年经验,本科,通信/电信/网络设备
算法工程师,成都真信智能科技有限公司,民营公司,0.8-1.5万/月,成都-金牛区,3,2021-10-26 09:35:29,周末双休 全勤奖 节日福利 员工旅游 年终奖金 包住宿 绩效奖金 五险一金 带薪年假 定期体检,1年经验,大专,电子技术/半导体/集成电路
图像算法工程师,四川星盾科技股份有限公司,民营公司,1-2万/月,成都-高新区,3,2021-10-26 09:33:10,传统节日福利 五险一金 通讯补贴 年终奖金,1年经验,本科,计算机软件
机器人算法工程师,成都市皓煊光电新材料科技研发中心有限公司,民营公司,2-3万/月,成都-武侯区,6,2021-10-26 09:32:55,五险一金 周末双休 带薪年假 免费健身房 绩效奖金 年终奖金 定期体检,5-7年经验,硕士,仪器仪表/工业自动化
机器学习算法工程师-CDBCS05,网思科技股份有限公司,民营公司,1.5-2万/月,成都-武侯区,6,2021-10-26 09:27:42,弹性工作 通讯补贴 绩效奖金 员工旅游 年终奖金 餐饮补贴 节日福利 周末双休 包吃 带薪年假,5-7年经验,本科,计算机服务(系统、数据服务、维修)
雷达算法工程师,成都运达科技股份有限公司,上市公司,1.5-2.5万/月,成都,5,2021-10-26 09:26:06,五险一金 补充医疗保险 补充公积金 通讯补贴 交通补贴 绩效奖金 年终奖金 定期体检,3-4年经验,硕士,计算机软件
算法工程师,四川西盾科技有限公司,民营公司,10-16万/年,成都-青羊区,5,2021-10-26 09:24:10,年终奖金 定期体检 五险一金 餐饮补贴 绩效奖金,3-4年经验,大专,计算机软件
机器人定位与导航算法工程师,四川东方水利智能装备工程股份有限公司,民营公司,1-1.5万/月,成都-成华区,3,2021-10-26 09:22:11,五险一金 补充医疗保险 交通补贴 年终奖金 绩效奖金 餐饮补贴 专业培训,1年经验,本科,机械/设备/重工
AI高级算法工程师(J10248),四川天翼网络服务有限公司,民营公司,2-4万/月,成都-高新区,5,2021-10-26 09:22:00,带薪年假 五险一金 节日福利 餐饮补贴 绩效奖金,3-4年经验,硕士,通信/电信运营、增值服务
图像算法工程师,四川汇源光通信有限公司,上市公司,1-1.5万/月,成都-高新区,4,2021-10-26 09:20:51,五险一金 定期体检 年终奖金 带薪年假 全勤奖 加班补贴 做五休二,2年经验,本科,通信/电信/网络设备
算法工程师,成都路行通信息技术有限公司,民营公司,1.5-3万/月,成都-高新区,5,2021-10-26 09:20:47,免费三餐 周末双休 带薪年假 员工旅游 团队活动 节日福利 社保,3-4年经验,硕士,计算机服务(系统、数据服务、维修)
自然语言处理（NLU）算法工程师,成都民航空管科技发展有限公司,国企,20-30万/年,成都-武侯区,10,2021-10-26 09:19:00,五险一金 补充医疗保险 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,无需经验,本科,计算机软件
雷达算法工程师,成都汇蓉国科微系统技术有限公司,民营公司,1-3万/月,成都-高新区,3,2021-10-26 09:18:21,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 股票期权,1年经验,本科,电子技术/半导体/集成电路
图像算法工程师,成都思晗科技股份有限公司,民营公司,1.6-2.5万/月,成都-高新区,6,2021-10-26 09:17:59,六险一金 专业培训 绩效奖金 定期体检 股票期权,5-7年经验,本科,计算机软件
基带算法工程师,成都星联芯通科技有限公司,民营公司,2-3.5万/月,成都-高新区,4,2021-10-26 09:14:25,五险一金 绩效奖金 定期体检 餐饮补贴 周末双休 员工旅游 交通补贴 通讯补贴 朝九晚六 股票期权,2年经验,硕士,通信/电信/网络设备
蜂窝基带算法工程师,深圳市极致汇仪科技有限公司,民营公司,1.5-3万/月,成都-武侯区,10,2021-10-26 09:11:42,五险一金 员工旅游 交通补贴 绩效奖金 年终奖金 股票期权 定期体检,无需经验,硕士,仪器仪表/工业自动化
算法工程师（图形+AI）,先临三维科技股份有限公司,上市公司,1.5-3万/月,成都-锦江区,4,2021-10-26 09:08:13,餐饮补贴 交通补贴 年终奖金 员工旅游 带薪年假 五险一金,2年经验,硕士,仪器仪表/工业自动化
气象算法/雷达算法工程师,成都远望探测技术有限公司,民营公司,0.8-1.5万/月,成都-双流区,4,2021-10-26 09:07:56,员工旅游 专业培训 绩效奖金 年终奖金 定期体检 免费停车 过节费 六险一金 弹性工作 周末双休,2年经验,本科,计算机软件
GNSS基带信号处理算法工程师（成都）,重庆天箭惯性科技股份有限公司,民营公司,1.2-2万/月,成都-高新区,5,2021-10-26 09:07:07,五险一金 员工旅游 餐饮补贴 定期体检 年终奖金 绩效奖金 交通补贴,3-4年经验,本科,电子技术/半导体/集成电路
AI算法工程师,中国太平洋保险（集团）股份有限公司,国企,20-40万/年,成都-高新区,4,2021-10-26 09:05:33,,2年经验,本科,保险
算法工程师,利宝保险有限公司,外资（欧美）,1.5-2万/月,成都-武侯区,5,2021-10-26 09:05:24,周末双休 五险一金 补充医疗保险 绩效奖金,3-4年经验,本科,保险
AI算法工程师,中建材信息技术股份有限公司,国企,0.8-1.5万/月,成都,3,2021-10-26 09:03:44,,1年经验,本科,计算机硬件
自然语音处理算法（NLP）工程师,成都明途科技有限公司,民营公司,0.8-1.5万/月,成都-双流区,10,2021-10-26 09:03:10,员工旅游 交通补贴 通讯补贴 定期体检 年终奖金 五险一金,无需经验,本科,计算机软件
B002-算法工程师,四川深瑞视科技有限公司,创业公司,1-2万/月,成都-武侯区,4,2021-10-26 09:00:07,周末双休 下午茶 节日福利 六险一金,2年经验,本科,计算机软件
算法工程师,四川锦江电子科技有限公司,民营公司,1.5-2.5万/月,成都,5,2021-10-26 08:59:41,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 股票期权 弹性工作 定期体检,3-4年经验,本科,电子技术/半导体/集成电路
NLP算法工程师,江苏版石软件股份有限公司,民营公司,1.3-2万/月,成都-天府新区,5,2021-10-26 08:57:45,五险一金 周末双休,3-4年经验,本科,计算机软件
高级算法工程师,成都心吉康科技有限公司,民营公司,2-3万/月,成都-高新区,4,2021-10-26 08:55:01,五险一金 股票期权 专业培训 定期体检 生日福利 节日福利 加班补助 补充医疗保险 周末双休 餐补,2年经验,本科,医疗设备/器械
点云处理算法工程师,成都利君实业股份有限公司,上市公司,1.2-1.8万/月,成都-武侯区,3,2021-10-26 08:53:48,五险一金 绩效奖金 带薪年假 免费班车,1年经验,硕士,机械/设备/重工
信号处理算法工程师,成都振芯科技股份有限公司,民营公司,1.8-2.5万/月,成都-高新区,5,2021-10-26 08:53:00,五险一金 绩效奖金 定期体检 年终奖金 餐饮补贴 超长春节 商业保险 每日下午茶 全勤奖 项目奖金,3-4年经验,硕士,电子技术/半导体/集成电路
AOI算法工程师,成都拓米双都光电有限公司,合资,25-30万/年,成都-新都区,4,2021-10-26 08:39:55,五险一金 补充医疗保险 提供午餐 定期体检 提供住宿 专业培训 绩效奖金 周末双休,2年经验,大专,仪器仪表/工业自动化
图像算法工程师,神州数码索贝科技有限公司,民营公司,1.5-2.5万/月,成都-高新区,5,2021-10-26 08:38:58,弹性工作 带薪年假 五险一金 节日福利 餐饮补贴 通讯补贴 商业保险 出差补助,3-4年经验,硕士,计算机软件
通信算法工程师,北京御芯微科技有限公司,民营公司,1-2.5万/月,成都-高新区,10,2021-10-26 08:38:32,五险一金 餐饮补贴 通讯补贴 专业培训 出国机会 绩效奖金 年终奖金 股票期权 弹性工作,无需经验,本科,电子技术/半导体/集成电路
算法工程师（成都）,东莞市盟拓智能科技有限公司,民营公司,0.9-2万/月,成都,3,2021-10-26 08:13:45,五险一金 带薪年假 定期体检 公司重点项目 节日福利,1年经验,本科,仪器仪表/工业自动化
人工智能（图像算法）工程师,必孚（成都）科技有限公司,民营公司,0.8-1.2万/月,成都-锦江区,4,2021-10-26 07:44:08,周末双休 五险一金 节日福利 年终奖金 全勤奖,2年经验,本科,互联网/电子商务
算法工程师,新华三技术有限公司,合资,2-4万/月,成都-高新区,5,2021-10-26 07:02:29,五险一金 补充医疗保险 弹性工作 定期体检 年终奖金 绩效奖金 免费班车 餐饮补贴,3-4年经验,本科,通信/电信/网络设备
高级算法工程师-无线射频 412646,Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司,外资（欧美）,1.5-2万/月,成都-高新区,10,2021-10-26 07:00:16,五险一金 弹性工作 补充医疗保险 专业培训 定期体检,无需经验,本科,通信/电信/网络设备
影像算法工程师（专家）,中兴通讯股份有限公司,上市公司,4-6万/月,上海,6,2021-10-26 04:01:52,免费班车 专业培训 定期体检 餐饮补贴 五险一金 节日福利 带薪年假 弹性工作,5-7年经验,硕士,通信/电信/网络设备
算法工程师,字节跳动,民营公司,2.5-3.8万/月,成都,10,2021-10-26 01:33:29,下午茶 健身瑜伽 六险一金 五险一金 股票期权 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿,无需经验,本科,互联网/电子商务
图像算法工程师,深圳市航盛电子股份有限公司,民营公司,2.5-4万/月,成都-高新区,6,2021-10-25 17:23:10,五险一金 定期体检 弹性工作 高温假 餐饮补贴 专业培训,5-7年经验,硕士,汽车
信号处理算法工程师,成都蓝色起源科技有限公司,民营公司,2.5-3万/月,成都-武侯区,5,2021-10-25 15:48:57,五险一金 绩效奖金 餐饮补贴 弹性工作,3-4年经验,本科,计算机软件
三维重建算法工程师（成都）,杭州东信北邮信息技术有限公司,民营公司,1-1.5万/月,成都-武侯区,4,2021-10-25 14:16:38,,2年经验,本科,计算机软件
机器视觉算法工程师,成都天创精密模具有限公司,民营公司,0.8-1.5万/月,成都,4,2021-10-25 13:42:40,餐饮补贴 补充医疗保险 员工旅游 六险 年终奖金 节日福利 全勤奖 包住宿 带薪年假,2年经验,本科,仪器仪表/工业自动化
高级视觉算法工程师（高新区）,成都三是科技有限公司,民营公司,0.8-1.8万/月,成都-武侯区,5,2021-10-25 13:42:11,五险一金 通讯补贴 绩效奖金 住宿 节日福利,3-4年经验,本科,仪器仪表/工业自动化
算法工程师(谱分析）,奕瑞集团子公司·奕瑞影像科技成都有限公司,民营公司,1.5-3万/月,成都-郫都区,4,2021-10-25 13:11:18,,2年经验,硕士,医疗设备/器械
图像算法工程师,杭州国翌科技有限公司,民营公司,1.1-2.2万/月,成都-高新区,4,2021-10-25 11:51:30,五险一金 年终奖金 绩效奖金 定期体检 补充医疗保险 专业培训 节日福利,2年经验,本科,电子技术/半导体/集成电路
雷达算法工程师,深圳市易探科技有限公司,民营公司,2-3.5万/月,成都-郫都区,5,2021-10-25 11:27:03,五险一金 员工旅游 专业培训 年终奖金 绩效奖金 股票期权,3-4年经验,硕士,电子技术/半导体/集成电路
算法工程师,四川川大智胜软件股份有限公司,民营公司,1.2-2万/月,成都,5,2021-10-25 11:15:18,年终奖金 绩效奖金 通讯补贴 五险一金 补充医疗保险 定期体检 交通补贴 餐饮补贴 免费班车,3-4年经验,本科,计算机软件
算法工程师,苏州领泰人力资源有限公司,民营公司,1.5-3万/月,北京,4,2021-10-25 10:22:50,,2年经验,本科,专业服务(咨询、人力资源、财会)
导航算法工程师,成都国星通信有限公司,上市公司,1.5-2万/月,成都,3,2021-10-25 10:12:33,五险 通讯补贴 做五休二 交通补贴 餐饮补贴 带薪年假 加班补贴 专业培训 定期体检 员工旅游,1年经验,硕士,通信/电信/网络设备
算法工程师,迈克生物股份有限公司,上市公司,1-2.2万/月,成都-高新区,3,2021-10-25 10:07:48,,1年经验,本科,医疗设备/器械
算法工程师,成都中科创达软件有限公司,上市公司,2-3.5万/月,成都-双流区,5,2021-10-25 10:07:32,,3-4年经验,本科,计算机软件
算法工程师,深圳华创电科技术有限公司,民营公司,1.5-3万/月,成都-成华区,6,2021-10-25 09:50:02,周末双休 五险一金 补充医疗保险 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 股票期权 定期体检,5-7年经验,硕士,计算机硬件
图像算法工程师（苏州）,成都思越智能设备有限公司,民营公司,1-2万/月,苏州,3,2021-10-25 09:45:39,五险一金 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检 周末双休 专业培训,1年经验,本科,机械/设备/重工
算法建模工程师,北京优诺信创科技有限公司,民营公司,1.3-2万/月,成都-金牛区,3,2021-10-25 09:37:37,五险一金 专业培训 员工旅游 定期体检 弹性工作 年终奖金 绩效奖金 午餐会 生日会 羽毛球,1年经验,硕士,通信/电信/网络设备
