职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
深度学习工程师-视觉方向,四川深瑞视科技有限公司,创业公司,1-3万/月,成都-武侯区,4,2021-10-26 09:00:07,周末双休 下午茶 节日福利,2年经验,硕士,计算机软件
Digital RAN Algorithm,Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司,外资（欧美）,1.5-3万/月,成都-高新区,10,2021-10-26 07:00:13,五险一金 弹性工作 补充医疗保险 专业培训 定期体检,无需经验,本科,通信/电信/网络设备
图像处理部负责人,广州辰创科技发展有限公司,民营公司,1.8-2.6万/月,成都-金牛区,5,2021-10-25 15:00:01,,3-4年经验,硕士,通信/电信/网络设备
机器视觉开发工程师,成都术有云视觉科技有限公司,民营公司,15-20万/年,成都-高新区,3,2021-10-24 17:25:38,,1年经验,本科,仪器仪表/工业自动化
通信算法技术负责人,成都众享天地网络科技有限公司,民营公司,1.5-3万/月,成都-郫都区,3,2021-10-22 09:39:15,员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作 五险一金 定期体检,1年经验,硕士,计算机软件
决策优化算法设计师,境观智能科技（成都）有限公司,民营公司,30-40万/年,成都-高新区,3,2021-10-20 11:32:34,,1年经验,博士,环保
AI算法部署专家-成都-G00208,沐曦集成电路（上海）有限公司,民营公司,2.5-4万/月,成都-高新区,6,2021-10-19 10:00:55,五险一金 绩效奖金 年终奖金 弹性工作 定期体检 补充医疗保险,5-7年经验,本科,电子技术/半导体/集成电路
控制工程师,天津大学四川创新研究院,事业单位,1-2万/月,成都-天府新区,5,2021-10-18 17:08:14,五险一金 员工旅游 专业培训 年终奖金 定期体检,3-4年经验,硕士,电子技术/半导体/集成电路
图像识别工程师（人工智能）,四川众合智控科技有限公司,民营公司,0.8-1.3万/月,成都-金牛区,3,2021-09-27 08:35:32,五险一金 带薪年假 节日福利 餐饮补贴 通讯补贴 高温补贴,1年经验,本科,电子技术/半导体/集成电路
工程中心-图像识别工程师,中国民用航空总局第二研究所,国企,10-15万/年,成都,10,2021-09-25 18:31:42,年终奖金 绩效奖金 专业培训 定期体检 补充医疗保险 五险,无需经验,硕士,交通/运输/物流
算法专家（CV）,成都圭目机器人有限公司,民营公司,2.5-5万/月,成都-龙泉驿区,6,2021-09-22 17:32:44,五险一金 补充医疗保险 员工旅游 定期体检 股票期权 餐饮补贴 年终奖金 绩效奖金 交通补贴,5-7年经验,硕士,计算机软件
视觉工程师,成都数之联科技有限公司,民营公司,0.8-1.2万/月,成都-高新区,4,2021-09-13 11:29:40,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 绩效奖金 定期体检 弹性工作 专业培训,2年经验,本科,计算机软件
计算机视觉工程师,成都通甲优博科技有限责任公司,民营公司,1-2万/月,成都-双流区,4,2021-08-30 11:48:05,五险一金 餐饮补贴 定期体检 绩效奖金 年终奖金 股票期权 交通补贴 员工旅游,2年经验,本科,计算机软件
大数据算法工程师,成都国铁电气设备有限公司,民营公司,15-28万/年,成都-双流区,5,2021-10-26 15:38:20,五险一金 交通补贴 年终奖金 免费工作餐,3-4年经验,硕士,电子技术/半导体/集成电路
大数据算法工程师,成都思腾数联信息技术有限公司,外资（欧美）,1.5-2.5万/月,成都-高新区,6,2021-10-26 11:59:19,五险一金 补充公积金 绩效奖金 交通补贴 餐饮补贴 弹性工作 年终奖金 通讯补贴,5-7年经验,本科,计算机软件
C++开发工程师(算法应用方向),四川弘和集团,民营公司,1.5-2.5万/月,成都-武侯区,5,2021-10-26 10:09:13,周末双休 绩效奖金 餐饮补贴 五险一金,3-4年经验,本科,计算机软件
算法应用工程师,四川弘和集团,民营公司,1.2-2.5万/月,成都-武侯区,5,2021-10-26 10:09:13,五险一金 餐饮补贴 绩效奖金 交通补贴 股票期权 弹性工作 通讯补贴,3-4年经验,本科,计算机软件
音频算法工程师,深圳市长丰影像器材有限公司,民营公司,1.5-3万/月,成都-高新区,3,2021-10-26 09:30:53,五险一金 员工旅游 定期体检 年终奖金 加班补助 节日福利 绩效奖金,1年经验,本科,电子技术/半导体/集成电路
算法测试工程师,成都思晗科技股份有限公司,民营公司,0.6-1.2万/月,成都-高新区,3,2021-10-26 09:17:59,五险一金 定期体检 绩效奖金 专业培训 年终奖金,1年经验,本科,计算机软件
FPGA工程师（算法实现）,先临三维科技股份有限公司,上市公司,2-3万/月,成都,6,2021-10-26 09:06:56,餐饮补贴 交通补贴 年终奖金 员工旅游 带薪年假 五险一金,5-7年经验,本科,仪器仪表/工业自动化
图像算法及应用工程师,北京优创新港科技股份有限公司绵阳分公司,民营公司,1.3-2.2万/月,成都,4,2021-10-23 09:19:03,五险一金 弹性工作 年终奖金 绩效奖金 交通补贴 通讯补贴 餐饮补贴,2年经验,本科,计算机软件
算法经理/高级工程师（3D),深圳市东正光学技术有限公司,民营公司,20-30万/年,成都-郫都区,7,2021-10-22 21:27:59,员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 股票期权,8-9年经验,硕士,仪器仪表/工业自动化
软件工程师(算法/信号处理),成都爱科特科技发展有限公司,上市公司,1-2万/月,成都-青羊区,5,2021-10-08 10:21:06,五险一金 餐饮补贴 年终奖金,3-4年经验,本科,电子技术/半导体/集成电路
视频编解码算法高级工程师,湖南国科微电子股份有限公司,上市公司,2-4万/月,成都-高新区,4,2021-09-23 10:18:05,五险一金 补充医疗保险 补充公积金 绩效奖金 上市公司,2年经验,本科,电子技术/半导体/集成电路
深度学习应用算法工程师,上海登临科技有限公司,合资,15-60万/年,成都-高新区,3,2021-09-07 16:41:34,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 股票期权 弹性工作 定期体检,1年经验,本科,计算机硬件
数据标注主管,四川弘和集团,民营公司,5-7千/月,成都-武侯区,5,2021-10-26 10:13:21,周末双休 带薪年假 五险一金,3-4年经验,大专,计算机软件
嵌入式开发工程师,上海霍塔浩福自动化测试技术有限公司,外资（欧美）,1-2万/月,上海,5,2021-10-26 18:18:41,五险一金 免费班车,3-4年经验,本科,汽车
健康管理（PHM）工程师,北京航天测控技术有限公司,国企,20-28万/年,成都-成华区,4,2021-10-26 17:32:23,五险一金 全额基数 公积金12 加班少 带薪年假 高额出差补贴 试用期全额 工作自主性高,2年经验,硕士,仪器仪表/工业自动化
