Aobject_id,lastmodified_time_range,Aexception_type,f0410_name,lastoccur_region,lastappeared_id,lat,username,M,Bexception_type,company,machine_type,machine_mark,isCivilPlane,gjdq,importancelecel,course,category,name0410en,name0410,lastmodified_time,isCivilPlanePossibility,long,name0410Possibility,Bobject_id,lastmodified_date,id,importancelevel
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",32.48151,"\"null\"",1.60345075E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",279.62784,异常,"\"null\"","\"null\"",10:58:31,0,123.95612,0,73,2020-10-23,12567,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.364624,"\"null\"",1.60345126E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",118.246056,未知,"\"null\"","\"null\"",11:08:31,0,123.70413,0,74,2020-10-23,12568,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",31.09934,"\"null\"",1.60345178E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",349.1063,未知,"\"null\"","\"null\"",11:16:31,0,124.827156,0,79,2020-10-23,12573,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.759348,"\"null\"",1.60345062E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",265.61777,未知,"\"null\"","\"null\"",10:56:31,0,125.33564,0,81,2020-10-23,12575,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",32.654644,"\"null\"",1.60345011E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",292.50348,异常,"\"null\"","\"null\"",10:48:31,0,124.61577,0,89,2020-10-23,12583,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.306395,"\"null\"",1.60345139E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",253.93126,异常,"\"null\"","\"null\"",11:10:31,0,124.02887,0,90,2020-10-23,12584,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.202398,"\"null\"",1.60345139E9,位置异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",321.36716,异常,"\"null\"","\"null\"",11:10:31,0,125.877304,0,92,2020-10-23,12586,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.70066,"\"null\"",1.60345139E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",229.83089,未知,"\"null\"","\"null\"",11:10:31,0,124.83672,0,93,2020-10-23,12587,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.61029,"\"null\"",1.60345216E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",298.32272,异常,"\"null\"","\"null\"",11:22:31,0,122.86125,0,96,2020-10-23,12590,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",31.020119,"\"null\"",1.60345139E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",303.07037,异常,"\"null\"","\"null\"",11:10:31,0,123.6976,0,98,2020-10-23,12592,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",26.443512,"\"null\"",1.6034519E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",142.89426,未知,"\"null\"","\"null\"",11:18:31,0,125.106735,0,8,2020-10-23,12502,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.038578,"\"null\"",1.60345152E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",116.43883,异常,"\"null\"","\"null\"",11:12:31,0,124.90224,0,10,2020-10-23,12504,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.585114,zhnagsan,1.60345075E9,,"\"null\"","\"null\"","\"null\"","\"null\"",TW,,204.36455,未知,"\"null\"","\"null\"",10:58:31,0,123.84765,0,12,2020-10-23,12506,high
